gpu_type,gpu_count,containerized,molecule,scf_time,gradient_time,total_time,system,datetime
NVIDIA-GeForce-GTX-1080,1,TRUE,valinomycin,743.372464000,537.780337000,1325.955499000,nrp,Mon Jan  8 23:50:51 2024
NVIDIA-GeForce-GTX-1080,2,TRUE,valinomycin,390.468398000,275.960396000,711.246459000,nrp,Tue Jan  9 00:12:58 2024
NVIDIA-GeForce-GTX-1080,4,TRUE,valinomycin,219.988601000,143.947487000,410.664690000,nrp,Tue Jan  9 00:24:49 2024
NVIDIA-GeForce-GTX-1080-Ti,1,TRUE,morphine,56.051523000,32.903629000,94.949155000,nrp,Tue Jan  9 16:59:15 2024
NVIDIA-GeForce-GTX-1080-Ti,2,TRUE,morphine,35.782213000,17.917031000,59.978062000,nrp,Tue Jan  9 17:00:50 2024
NVIDIA-GeForce-GTX-1080-Ti,4,TRUE,morphine,18.672023000,9.331865000,34.735023000,nrp,Tue Jan  9 17:01:51 2024
NVIDIA-GeForce-GTX-1080-Ti,1,TRUE,psb5,9.231078000,4.384244000,18.133793000,nrp,Tue Jan  9 16:58:32 2024
NVIDIA-GeForce-GTX-1080-Ti,2,TRUE,psb5,5.775307000,2.533904000,12.906996000,nrp,Tue Jan  9 16:58:51 2024
NVIDIA-GeForce-GTX-1080-Ti,4,TRUE,psb5,3.386404000,1.478958000,9.882646000,nrp,Tue Jan  9 16:59:04 2024
NVIDIA-GeForce-GTX-1080-Ti,1,TRUE,taxol,265.092521000,205.498805000,487.916609000,nrp,Tue Jan  9 17:02:26 2024
NVIDIA-GeForce-GTX-1080-Ti,2,TRUE,taxol,140.524463000,105.076831000,263.256505000,nrp,Tue Jan  9 17:10:34 2024
NVIDIA-GeForce-GTX-1080-Ti,4,TRUE,taxol,79.219999000,54.708710000,152.301286000,nrp,Tue Jan  9 17:14:58 2024
NVIDIA-GeForce-GTX-1080-Ti,1,TRUE,valinomycin,519.196622000,387.958965000,943.926136000,nrp,Tue Jan  9 17:17:31 2024
NVIDIA-GeForce-GTX-1080-Ti,2,TRUE,valinomycin,285.350670000,200.705081000,524.509276000,nrp,Tue Jan  9 17:33:16 2024
NVIDIA-GeForce-GTX-1080-Ti,4,TRUE,valinomycin,160.989225000,106.916659000,306.862091000,nrp,Tue Jan  9 17:42:01 2024
NVIDIA-GeForce-RTX-2080-Ti,1,TRUE,morphine,46.027062000,17.837938000,71.483688000,nrp,Fri Jan  5 20:38:09 2024
NVIDIA-GeForce-RTX-2080-Ti,2,TRUE,morphine,28.367033000,9.730821000,46.052476000,nrp,Fri Jan  5 20:39:21 2024
